reviewer_orcid,reviewer_name,reviewer_coauthor1_name,reviewer_coauthor1_id,reviewer_coauthor2_name,reviewer_coauthor2_id,reviewer_coauthor3_name,reviewer_coauthor3_id,reviewer_coauthor4_name,reviewer_coauthor4_id,reviewer_coauthor5_name,reviewer_coauthor5_id,reviewer_coauthor6_name,reviewer_coauthor6_id,reviewer_coauthor7_name,reviewer_coauthor7_id,reviewer_coauthor8_name,reviewer_coauthor8_id,reviewer_coauthor9_name,reviewer_coauthor9_id,reviewer_coauthor10_name,reviewer_coauthor10_id,reviewer_coauthor_title_doi,reviewer_coauthor_title
0000-0001-7025-1786,Aakash Goel,,,,,,,,,,,,,,,,,,,,,http://dx.doi.org/10.1145/2588555.2595642.,Fast Database Restarts at Facebook
0000-0002-9062-6546,Hugo Firth,Paolo Missier,0000-0002-0978-2446,Jack Aiston,0000-0002-2854-0469,,,,,,,,,,,,,,,,,,Loom: Query-aware Partitioning of Online Graphs
0000-0001-7525-8450,Raphael Bonaque,Bogdan Cautis,0000-0003-3497-042X,Franois Goasdoue,0000-0003-4532-7974,Ioana Manolescu,0000-0002-0425-2462,,,,,,,,,,,,,,,,"Social, Structured and Semantic Search"
0000-0002-4839-1624,Abdullah Mueen,Suman Nath,0000-0002-5396-5389,Jie Liu,0000-0003-1983-5086,,,,,,,,,,,,,,,,,,Fast Approximate Correlation for Massive Time-series Data
0000-0002-9186-0270,Emre Sefer,Carl Kingsford,0000-0002-8103-619X,,,,,,,,,,,,,,,,,,,,Convex Risk Minimization to Infer Networks from Probabilistic Diffusion Data at Multiple Scales
0000-0001-9547-5137,Georgios J. Fakas,Zhi Cai,0000-0001-8033-6900,Nikos Mamoulis,0000-0002-1084-4990,,,,,,,,,,,,,,,,,,Diverse and proportional Size-l Object Summaries for Relational Keyword Search
0000-0003-1932-8914,Jiefeng Cheng,Qin Liu,0000-0002-7332-5979,Zhenguo Li,0000-0002-2884-6134,Wei Fan,0000-0001-9628-9934,John C.S. Lui,0000-0001-7466-0384,Cheng He,0000-0002-5542-6063,,,,,,,,,,,,VENUS: Vertex-Centric Streamlined Graph Computation on a Single PC
0000-0003-0632-1668,Oliver Kennedy,Suman Nath,0000-0002-5396-5389,,,,,,,,,,,,,,,,,,,,Jigsaw: Efficient Optimization Over Uncertain Enterprise Data
0000-0001-9148-8280,Adam Silberstein,Jeff Terrace,0000-0003-1578-9000,Brian F. Cooper,0000-0002-3708-9657,Raghu Ramakrishnan,0000-0003-1704-8644,,,,,,,,,,,,,,,,Feeding Frenzy: Selectively Materializing Users¡¯ Event Feeds
0000-0002-8271-9187,Stratos Idreos,Martin L. Kersten,0000-0003-4161-2364,Stefan Manegold,0000-0001-7938-4358,,,,,,,,,,,,,,,,,,Self-organizing Tuple Reconstruction in Column-stores
0000-0002-9614-0504,Wolfgang Gatterbauer,Dan Suciu,0000-0002-4144-0868,,,,,,,,,,,,,,,,,,,,Data Conflict Resolution Using Trust Mappings
0000-0002-3163-8846,Jiang Du,Boris Glavic,0000-0003-2887-2452,Wei Tan,0000-0002-7832-9338,Renee J. Miller,0000-0002-1484-4787,,,,,,,,,,,,,,,,DeepSea: Progressive Workload-Aware Partitioning of Materialized Views in Scalable Data Analytics
0000-0002-7377-6868,Haohan Zhu,Xianrui Meng,0000-0002-4355-2556,George Kollios,0000-0002-0225-0308,,,,,,,,,,,,,,,,,,Privacy Preserving Similarity Evaluation of Time Series Data
0000-0002-7156-4140,Kai Ren,YongChul Kwon,0000-0002-3975-8375,Magdalena Balazinska,0000-0002-6805-0325,Bill Howe,0000-0001-8588-8472,,,,,,,,,,,,,,,,Hadoop's Adolescence An analysis of Hadoop usage in scientific workloads
0000-0002-6340-7807,Jia Wang,James Cheng,0000-0002-2254-8814,,,,,,,,,,,,,,,,,,,,Truss Decomposition in Massive Networks
0000-0002-8604-9248,David C. Anastasiu,Al M. Rashid,0000-0002-3443-4988,Andrea Tagarelli,0000-0002-8142-503X,George Karypis,0000-0003-2753-1437,,,,,,,,,,,,,,,,Understanding Computer Usage Evolution 
0000-0002-9882-5371,Jiexing Li,"Arnd Christian Konig, Vivek Narasayya, Surajit Chaudhuri",0000-0001-7011-7886,Vivek Narasayya,0000-0001-7011-7886,Surajit Chaudhuri,0000-0001-8252-5270,,,,,,,,,,,,,,,,Robust Estimation of Resource Consumption for SQL Queries using Statistical Techniques
0000-0002-0233-9871,Paras Mehta ,Dimitris Sacharidis,0000-0001-5022-1483,Dimitrios Skoutas,0000-0002-6118-5227,Agnos Voisard Freie Universitat Berlin Germany,0000-0003-1450-865X,,,,,,,,,,,,,,,,Finding Socio-Textual Associations Among Locations
0000-0003-0488-5283,Houtan Shirani-Mehr,Farnoush Banaei-Kashani,0000-0003-4102-9873,Cyrus Shahabi,0000-0001-9118-0681,,,,,,,,,,,,,,,,,,Efficient Reachability Query Evaluation in Large Spatiotemporal Contact Datasets
0000-0003-1468-2455,Kenneth Fuglsang Christensen,Lasse Linnerup Christiansen,0000-0002-9316-1529,Torben Bach Pedersen,0000-0002-1615-777X,Jeppe Pihl,0000-0001-7990-0148,,,,,,,,,,,,,,,,Searchlight: Context-Aware Predictive Continuous Querying of Moving Objects in Symbolic Space
0000-0001-8571-4931,Daichi Amagata,Takahiro Hara,0000-0002-3845-8434,,,,,,,,,,,,,,,,,,,,Monitoring MaxRS in Spatial Data Streams
0000-0002-4484-901X,Maheswaran Sathiamoorthy,Megasthenis Asteris,0000-0002-4083-8348,Dimitris Papailiopoulos,0000-0001-5373-5893,Alexandros G. Dimakis,0000-0002-4244-7033,Ramkumar Vadali,0000-0001-5056-4144,Scott Chen,0000-0001-7438-7744,Dhruba Borthakur,0000-0002-3791-7571,,,,,,,,,,XORing Elephants: Novel Erasure Codes for Big Data
