reviewer_orcid,reviewer_name,reviewer_coauthor1_name,reviewer_coauthor1_id,reviewer_coauthor2_name,reviewer_coauthor2_id,reviewer_coauthor3_name,reviewer_coauthor3_id,reviewer_coauthor4_name,reviewer_coauthor4_id,reviewer_coauthor5_name,reviewer_coauthor5_id,reviewer_coauthor6_name,reviewer_coauthor6_id,reviewer_coauthor7_name,reviewer_coauthor7_id,reviewer_coauthor8_name,reviewer_coauthor8_id,reviewer_coauthor9_name,reviewer_coauthor9_id,reviewer_coauthor10_name,reviewer_coauthor10_id,reviewer_coauthor_title_doi,reviewer_coauthor_title
36,Aakash Goel,,,,,,,,,,,,,,,,,,,,,http://dx.doi.org/10.1145/2588555.2595642.,Fast Database Restarts at Facebook
895,Hugo Firth,Paolo Missier,1711,Jack Aiston,948,,,,,,,,,,,,,,,,,,Loom: Query-aware Partitioning of Online Graphs
1842,Raphael Bonaque,Bogdan Cautis,308,Franois Goasdoue,713,Ioana Manolescu,928,,,,,,,,,,,,,,,,"Social, Structured and Semantic Search"
43,Abdullah Mueen,Suman Nath,2133,Jie Liu,1046,,,,,,,,,,,,,,,,,,Fast Approximate Correlation for Massive Time-series Data
623,Emre Sefer,Carl Kingsford,342,,,,,,,,,,,,,,,,,,,,Convex Risk Minimization to Infer Networks from Probabilistic Diffusion Data at Multiple Scales
758,Georgios J. Fakas,Zhi Cai,2597,Nikos Mamoulis,1645,,,,,,,,,,,,,,,,,,Diverse and proportional Size-l Object Summaries for Relational Keyword Search
1050,Jiefeng Cheng,Qin Liu,1796,Zhenguo Li,2592,Wei Fan,2312,John C.S. Lui,1093,Cheng He,385,,,,,,,,,,,,VENUS: Vertex-Centric Streamlined Graph Computation on a Single PC
1682,Oliver Kennedy,Suman Nath,2133,,,,,,,,,,,,,,,,,,,,Jigsaw: Efficient Optimization Over Uncertain Enterprise Data
52,Adam Silberstein,Jeff Terrace,980,Brian F. Cooper,325,Raghu Ramakrishnan,1820,,,,,,,,,,,,,,,,Feeding Frenzy: Selectively Materializing Users¡¯ Event Feeds
29,Stratos Idreos,Martin L. Kersten,1431,Stefan Manegold,2094,,,,,,,,,,,,,,,,,,Self-organizing Tuple Reconstruction in Column-stores
2357,Wolfgang Gatterbauer,Dan Suciu,469,,,,,,,,,,,,,,,,,,,,Data Conflict Resolution Using Trust Mappings
1031,Jiang Du,Boris Glavic,316,Wei Tan,2316,Renee J. Miller,1859,,,,,,,,,,,,,,,,DeepSea: Progressive Workload-Aware Partitioning of Materialized Views in Scalable Data Analytics
837,Haohan Zhu,Xianrui Meng,2377,George Kollios,746,,,,,,,,,,,,,,,,,,Privacy Preserving Similarity Evaluation of Time Series Data
1165,Kai Ren,YongChul Kwon,2511,Magdalena Balazinska,1364,Bill Howe,290,,,,,,,,,,,,,,,,Hadoop's Adolescence An analysis of Hadoop usage in scientific workloads
1013,Jia Wang,James Cheng,962,,,,,,,,,,,,,,,,,,,,Truss Decomposition in Massive Networks
496,David C. Anastasiu,Al M. Rashid,78,Andrea Tagarelli,159,George Karypis,745,,,,,,,,,,,,,,,,Understanding Computer Usage Evolution 
1052,Jiexing Li,"Arnd Christian Konig, Vivek Narasayya, Surajit Chaudhuri",229,Vivek Narasayya,2286,Surajit Chaudhuri,2143,,,,,,,,,,,,,,,,Robust Estimation of Resource Consumption for SQL Queries using Statistical Techniques
1716,Paras Mehta ,Dimitris Sacharidis,555,Dimitrios Skoutas,550,Agnos Voisard Freie Universitat Berlin Germany,59,,,,,,,,,,,,,,,,Finding Socio-Textual Associations Among Locations
891,Houtan Shirani-Mehr,Farnoush Banaei-Kashani,668,Cyrus Shahabi,455,,,,,,,,,,,,,,,,,,Efficient Reachability Query Evaluation in Large Spatiotemporal Contact Datasets
1214,Kenneth Fuglsang Christensen,Lasse Linnerup Christiansen,1290,Torben Bach Pedersen,2217,Jeppe Pihl,1004,,,,,,,,,,,,,,,,Searchlight: Context-Aware Predictive Continuous Querying of Moving Objects in Symbolic Space
458,Daichi Amagata,Takahiro Hara,2157,,,,,,,,,,,,,,,,,,,,Monitoring MaxRS in Spatial Data Streams
1368,Maheswaran Sathiamoorthy,Megasthenis Asteris,1468,Dimitris Papailiopoulos,554,Alexandros G. Dimakis,115,Ramkumar Vadali,1836,Scott Chen,1970,Dhruba Borthakur,540,,,,,,,,,,XORing Elephants: Novel Erasure Codes for Big Data
